12:44:57.336 [main] INFO  java.lang.Class - Cost: Datacenter 1 Cloudlet 6 is 0.3
12:44:57.336 [main] INFO  java.lang.Class - Cost: Datacenter 1 Cloudlet 7 is 0.3
12:44:57.336 [main] INFO  java.lang.Class - Cost: Datacenter 1 Cloudlet 8 is 0.3
12:44:57.336 [main] INFO  java.lang.Class - Cost: Datacenter 1 Cloudlet 9 is 0.3
12:44:57.336 [main] INFO  java.lang.Class - Finished simulation .
12:44:57.336 [main] INFO  java.lang.Class - Completed simulation of the SpaceShared VM and cloudlet scheduling policy. 



12:44:57.336 [main] INFO  java.lang.Class - Time Shared scheduling  simulation

12:44:57.337 [main] INFO  java.lang.Class - Parsing configurations from TimeShared.conf
12:44:57.342 [main] INFO  java.lang.Class - Configuration parsing completed from TimeShared.conf.
12:44:57.342 [main] INFO  java.lang.Class - Datacenter configuration are as:
12:44:57.342 [main] INFO  java.lang.Class - Number of hosts: 2
12:44:57.342 [main] INFO  java.lang.Class - Number of VMs: 2
12:44:57.342 [main] INFO  java.lang.Class - Number of cloudlets: 8
12:44:57.342 [main] INFO  java.lang.Class - Initiating VMs
12:44:57.342 [main] INFO  java.lang.Class - Initiating cloudlets
12:44:57.342 [main] INFO  java.lang.Class - Linking VMs, cloudlets to the broker
12:44:57.342 [main] INFO  CloudSim - 
================== Starting CloudSim Plus 6.4.3 ==================

12:44:57.342 [main] INFO  Datacenter - 0.00: DatacenterSimple1 is starting...
12:44:57.342 [main] INFO  DatacenterBroker - DatacenterBrokerSimple2 is starting...
12:44:57.343 [main] INFO  CloudSim - Entities started.
12:44:57.343 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: List of 1 datacenters(s) received.
12:44:57.343 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 0 in DatacenterSimple1
12:44:57.343 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 1 in DatacenterSimple1
12:44:57.344 [main] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 0 has been allocated to Host 0/DC 1
12:44:57.345 [main] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 1 has been allocated to Host 1/DC 1
12:44:57.345 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 0 to Vm 0 in Host 0/DC 1.
12:44:57.345 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 1 to Vm 1 in Host 1/DC 1.
12:44:57.345 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 2 to Vm 0 in Host 0/DC 1.
12:44:57.345 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 3 to Vm 1 in Host 1/DC 1.
12:44:57.345 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 4 to Vm 0 in Host 0/DC 1.
12:44:57.345 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 5 to Vm 1 in Host 1/DC 1.
12:44:57.345 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 6 to Vm 0 in Host 0/DC 1.
12:44:57.345 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 7 to Vm 1 in Host 1/DC 1.
12:44:57.345 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: All 8 waiting Cloudlets submitted to some VM.
12:44:57.346 [main] INFO  DatacenterBroker - 160.22: DatacenterBrokerSimple2: Cloudlet 0 finished in Vm 0 and returned to broker.
12:44:57.347 [main] INFO  DatacenterBroker - 160.22: DatacenterBrokerSimple2: Cloudlet 2 finished in Vm 0 and returned to broker.
12:44:57.347 [main] INFO  DatacenterBroker - 160.22: DatacenterBrokerSimple2: Cloudlet 4 finished in Vm 0 and returned to broker.
12:44:57.347 [main] INFO  DatacenterBroker - 160.22: DatacenterBrokerSimple2: Cloudlet 6 finished in Vm 0 and returned to broker.
12:44:57.347 [main] INFO  DatacenterBroker - 160.22: DatacenterBrokerSimple2: Cloudlet 1 finished in Vm 1 and returned to broker.
12:44:57.347 [main] INFO  DatacenterBroker - 160.22: DatacenterBrokerSimple2: Cloudlet 3 finished in Vm 1 and returned to broker.
12:44:57.347 [main] INFO  DatacenterBroker - 160.22: DatacenterBrokerSimple2: Cloudlet 5 finished in Vm 1 and returned to broker.
12:44:57.347 [main] INFO  DatacenterBroker - 160.22: DatacenterBrokerSimple2: Cloudlet 7 finished in Vm 1 and returned to broker.
12:44:57.347 [main] INFO  CloudSim - 160.33: Processing last events before simulation shutdown.
12:44:57.347 [main] INFO  DatacenterBroker - 160.33: DatacenterBrokerSimple2 is shutting down...
12:44:57.347 [main] INFO  DatacenterBroker - 160.33: DatacenterBrokerSimple2: Requesting Vm 1 destruction.
12:44:57.347 [main] INFO  DatacenterBroker - 160.33: DatacenterBrokerSimple2: Requesting Vm 0 destruction.
12:44:57.347 [main] INFO  Datacenter - 160.33: DatacenterSimple: Vm 1 destroyed on Host 1/DC 1. 
12:44:57.347 [main] INFO  Datacenter - 160.33: DatacenterSimple: Vm 0 destroyed on Host 0/DC 1. 
12:44:57.347 [main] INFO  CloudSim - Simulation: No more future events

12:44:57.347 [main] INFO  CloudInformationService - CloudInformationService0: Notify all CloudSim Plus entities to shutdown.

12:44:57.347 [main] INFO  CloudSim - 
================== Simulation finished at time 160.33 ==================

12:44:57.350 [main] INFO  java.lang.Class - Cost: Datacenter 1 Cloudlet 0 is 0.3
12:44:57.350 [main] INFO  java.lang.Class - Cost: Datacenter 1 Cloudlet 2 is 0.3
12:44:57.350 [main] INFO  java.lang.Class - Cost: Datacenter 1 Cloudlet 4 is 0.3
12:44:57.350 [main] INFO  java.lang.Class - Cost: Datacenter 1 Cloudlet 6 is 0.3
12:44:57.350 [main] INFO  java.lang.Class - Cost: Datacenter 1 Cloudlet 1 is 0.3
12:44:57.350 [main] INFO  java.lang.Class - Cost: Datacenter 1 Cloudlet 3 is 0.3
12:44:57.350 [main] INFO  java.lang.Class - Cost: Datacenter 1 Cloudlet 5 is 0.3
12:44:57.350 [main] INFO  java.lang.Class - Cost: Datacenter 1 Cloudlet 7 is 0.3
12:44:57.350 [main] INFO  java.lang.Class - Finished simulation .
12:44:57.350 [main] INFO  java.lang.Class - Completed simulation of the TimeShared VM and cloudlet scheduling policy. 



12:44:57.350 [main] INFO  java.lang.Class - VM Allocation Policy Round Robin

12:44:57.351 [main] INFO  java.lang.Class - Parsing configurations from RoundRobin.conf
12:44:57.354 [main] INFO  java.lang.Class - Configuration parsing completed from RoundRobin.conf.
12:44:57.354 [main] INFO  java.lang.Class - Datacenter configuration are as:
12:44:57.354 [main] INFO  java.lang.Class - Number of hosts: 4
12:44:57.354 [main] INFO  java.lang.Class - Number of VMs: 8
12:44:57.354 [main] INFO  java.lang.Class - Number of cloudlets: 12
12:44:57.355 [main] INFO  java.lang.Class - Initiating VMs
12:44:57.355 [main] INFO  java.lang.Class - Initiating cloudlets
12:44:57.355 [main] INFO  java.lang.Class - Linking cloudlets, Vm to the broker
12:44:57.355 [main] INFO  CloudSim - 
================== Starting CloudSim Plus 6.4.3 ==================

